token_uid,category_code,category_name,index,regkey_raw,title,definition,examples,wire_token,definition_id,wire_token_uniqueness,category+index_uniqueness
SIGSNEG01U,NEG,Negation / Denial,01U,SP:NEG:01U,,Spiritual distancing from an idea or state.,unclean|not divine|no light,neg01u,166,TRUE,TRUE
SIGSNEG01V,NEG,Negation / Denial,01V,SP:NEG:01V,,Repetition of negation to emphasize intensity.,no no no|absolutely not|never ever,neg01v,167,TRUE,TRUE
SIGSNEG01W,NEG,Negation / Denial,01W,SP:NEG:01W,,Coded slang for hidden or implied denial.,nah fr|stop playin|you wild,neg01w,168,TRUE,TRUE
SIGSNEG01X,NEG,Negation / Denial,01X,SP:NEG:01X,,Simple pause or stall instead of agreement.,wait|hold on|let’s pause,neg01x,169,TRUE,TRUE
SIGSNEG01Y,NEG,Negation / Denial,01Y,SP:NEG:01Y,,Negation via euphemism or softened language.,not ideal|unfavorable|less than great,neg01y,170,TRUE,TRUE
SIGSNEG01Z,NEG,Negation / Denial,01Z,SP:NEG:01Z,,Contradiction masked as curiosity or questioning.,are you sure?|really?|how do you know?,neg01z,171,TRUE,TRUE
SIGSNEG020,NEG,Negation / Denial,020,SP:NEG:020,,Internal denial used to cope with trauma or grief.,can’t believe it|no way|still in shock,neg020,172,TRUE,TRUE
SIGSNEG021,NEG,Negation / Denial,021,SP:NEG:021,,Legal or procedural statement of denial.,not guilty|motion denied|dismissed,neg021,173,TRUE,TRUE
SIGSNEG022,NEG,Negation / Denial,022,SP:NEG:022,,Refusal masked as deferral or delay.,not now|maybe later|hold off,neg022,174,TRUE,TRUE
SIGSNEG023,NEG,Negation / Denial,023,SP:NEG:023,,Existential or nihilistic refusal to participate.,opt out|pass|not playing,neg023,175,TRUE,TRUE
SIGSNEG024,NEG,Negation / Denial,024,SP:NEG:024,,Verbal distancing from association or responsibility.,not mine|don’t blame me|that’s on them,neg024,176,TRUE,TRUE
SIGSNEG025,NEG,Negation / Denial,025,SP:NEG:025,,Absolute negation through metaphysical boundary.,never was|beyond reach|out of time,neg025,177,TRUE,TRUE
SIGSNEG026,NEG,Negation / Denial,026,SP:NEG:026,,Refusal couched in politeness or formality.,with regret|respectfully decline|not at this time,neg026,178,TRUE,TRUE
SIGSNEG027,NEG,Negation / Denial,027,SP:NEG:027,,Negation via silence or omission in writing.,[redacted]|[omitted]|[blank],neg027,179,TRUE,TRUE
SIGSNEG028,NEG,Negation / Denial,028,SP:NEG:028,,Symbolic reversal of affirmation.,not so|inverted|negated,neg028,180,TRUE,TRUE
SIGSNEG029,NEG,Negation / Denial,029,SP:NEG:029,,Philosophical negation through paradox.,everything is nothing|dark light|truth is lie,neg029,181,TRUE,TRUE
SIGSNEG02A,NEG,Negation / Denial,02A,SP:NEG:02A,,Factual denial based on contradictory data.,inconsistent|contradicted|debunked,neg02a,182,TRUE,TRUE
SIGSNEG02B,NEG,Negation / Denial,02B,SP:NEG:02B,,Withholding consent or endorsement.,didn’t agree|not signed|refused,neg02b,183,TRUE,TRUE
SIGSNEG02C,NEG,Negation / Denial,02C,SP:NEG:02C,,Negation as an act of spiritual purification.,cast out|let go|banish,neg02c,184,TRUE,TRUE
SIGSNEG02D,NEG,Negation / Denial,02D,SP:NEG:02D,,Active rebuttal in debate or discussion.,counter|rebut|challenge,neg02d,185,TRUE,TRUE
SIGSNEG02E,NEG,Negation / Denial,02E,SP:NEG:02E,,Reversal of commitment or loyalty.,defect|turncoat|withdraw,neg02e,186,TRUE,TRUE
SIGSNEG02F,NEG,Negation / Denial,02F,SP:NEG:02F,,Negation expressed through comparative exclusion.,not like them|unlike|different,neg02f,187,TRUE,TRUE
SIGSNEG02G,NEG,Negation / Denial,02G,SP:NEG:02G,,"Simple, curt, or blunt refusal.",no|stop|don’t,neg02g,188,TRUE,TRUE
SIGSNEG02H,NEG,Negation / Denial,02H,SP:NEG:02H,,Withdrawal of belief or faith.,lost faith|don’t believe|fallen away,neg02h,189,TRUE,TRUE
SIGSNEG02I,NEG,Negation / Denial,02I,SP:NEG:02I,,Visual or graphic indicator of negation.,🚫|❌|✖,neg02i,190,TRUE,TRUE
SIGSNEG02J,NEG,Negation / Denial,02J,SP:NEG:02J,,Semantic or grammatical negation.,not|never|no longer,neg02j,191,TRUE,TRUE
SIGSNEG02K,NEG,Negation / Denial,02K,SP:NEG:02K,,Rejection based on memory or evidence.,not how I remember|doesn’t add up|false memory,neg02k,192,TRUE,TRUE
SIGSNEG02L,NEG,Negation / Denial,02L,SP:NEG:02L,,Denial for protection of another.,wasn’t them|I did it|cover,neg02l,193,TRUE,TRUE
SIGSNEG02M,NEG,Negation / Denial,02M,SP:NEG:02M,,Negation via redirection to another topic.,off-topic|irrelevant|moving on,neg02m,194,TRUE,TRUE
SIGSNEG02N,NEG,Negation / Denial,02N,SP:NEG:02N,,Negation through mocking or parody.,mock|sarcasm|meme,neg02n,195,TRUE,TRUE
SIGSNEG02O,NEG,Negation / Denial,02O,SP:NEG:02O,,Refusal due to ethical or moral disagreement.,I can’t do that|not right|against my values,neg02o,196,TRUE,TRUE
SIGSNEG02P,NEG,Negation / Denial,02P,SP:NEG:02P,,Indecision or withdrawal due to uncertainty.,not sure|undecided|still thinking,neg02p,197,TRUE,TRUE
SIGSNEG02Q,NEG,Negation / Denial,02Q,SP:NEG:02Q,,Passive-aggressive denial or resistance.,if you say so|whatever|sure (not),neg02q,198,TRUE,TRUE
SIGSNEG02R,NEG,Negation / Denial,02R,SP:NEG:02R,,Negation of time or timing relevance.,not yet|too late|never again,neg02r,199,TRUE,TRUE
SIGSNEG02S,NEG,Negation / Denial,02S,SP:NEG:02S,,Complete metaphysical denial of identity or being.,not me|I am not|no self,neg02s,200,TRUE,TRUE
SIGSOWN001,OWN,Ownership / Possession,001,SP:OWN:001,,A verbal declaration of personal ownership or possession.,mine|belongs to me|I own it,own001,201,TRUE,TRUE
SIGSOWN002,OWN,Ownership / Possession,002,SP:OWN:002,,An indication of legal or formal possession.,title|deed|licensed to,own002,202,TRUE,TRUE
SIGSOWN003,OWN,Ownership / Possession,003,SP:OWN:003,Informal or colloquial claim to a shared object or experi...,Informal or colloquial claim to a shared object or experience.,my turn|dibs|called it,own003,203,TRUE,TRUE
SIGSOWN004,OWN,Ownership / Possession,004,SP:OWN:004,,Possessive pronoun forms to signal association.,my|his|her,own004,204,TRUE,TRUE
SIGSOWN005,OWN,Ownership / Possession,005,SP:OWN:005,,Expressions of familial or emotional belonging.,my family|my love|my people,own005,205,TRUE,TRUE
SIGSOWN006,OWN,Ownership / Possession,006,SP:OWN:006,,Spiritual or sacred form of possession or guardianship.,entrusted|watched over|in my care,own006,206,TRUE,TRUE
SIGSOWN007,OWN,Ownership / Possession,007,SP:OWN:007,,"Cultural or ancestral claim to land, name, or history.",our land|our heritage|rightful,own007,207,TRUE,TRUE
SIGSOWN008,OWN,Ownership / Possession,008,SP:OWN:008,,Digital or virtual ownership.,my account|logged in|NFT,own008,208,TRUE,TRUE
SIGSOWN009,OWN,Ownership / Possession,009,SP:OWN:009,,Gestures or nonverbal signals of claim.,hand on object|standing over|protective stance,own009,209,TRUE,TRUE
SIGSOWN00A,OWN,Ownership / Possession,00A,SP:OWN:00A,,Business or economic language of ownership.,stakeholder|proprietor|invested in,own00a,210,TRUE,TRUE
SIGSOWN00B,OWN,Ownership / Possession,00B,SP:OWN:00B,,Possessive control over knowledge or ideas.,my theory|our framework|his concept,own00b,211,TRUE,TRUE
SIGSOWN00C,OWN,Ownership / Possession,00C,SP:OWN:00C,,Exclusive rights to use or access.,exclusive|private|access granted,own00c,212,TRUE,TRUE
SIGSOWN00D,OWN,Ownership / Possession,00D,SP:OWN:00D,,Possession asserted through symbolic naming.,named after|eponymous|my namesake,own00d,213,TRUE,TRUE
SIGSOWN00E,OWN,Ownership / Possession,00E,SP:OWN:00E,,Language that indicates having a role or responsibility.,I manage|under my watch|in charge of,own00e,214,TRUE,TRUE
SIGSOWN00F,OWN,Ownership / Possession,00F,SP:OWN:00F,,Spoken bond or attachment to something abstract.,my truth|my vision|my story,own00f,215,TRUE,TRUE
SIGSOWN00G,OWN,Ownership / Possession,00G,SP:OWN:00G,,Possessive used in storytelling to assert identity.,my journey|my destiny|my dream,own00g,216,TRUE,TRUE
SIGSOWN00H,OWN,Ownership / Possession,00H,SP:OWN:00H,,Language indicating possession via inheritance.,passed down|legacy|heirloom,own00h,217,TRUE,TRUE
SIGSOWN00I,OWN,Ownership / Possession,00I,SP:OWN:00I,,Possession demonstrated through emotional attachment.,can’t let go|I need it|means the world,own00i,218,TRUE,TRUE
SIGSOWN00J,OWN,Ownership / Possession,00J,SP:OWN:00J,,Collective ownership language used in organizations.,our team|we own this|shared mission,own00j,219,TRUE,TRUE
SIGSOWN00K,OWN,Ownership / Possession,00K,SP:OWN:00K,,Territorial claim or boundary declaration.,my space|stay out|this is ours,own00k,220,TRUE,TRUE
SIGSOWN00L,OWN,Ownership / Possession,00L,SP:OWN:00L,,Use of branding or labeling to mark possession.,my logo|tagged|marked as mine,own00l,221,TRUE,TRUE
SIGSOWN00M,OWN,Ownership / Possession,00M,SP:OWN:00M,,Verbal assertion of exclusivity or loyalty.,all mine|spoken for|claimed,own00m,222,TRUE,TRUE
SIGSOWN00N,OWN,Ownership / Possession,00N,SP:OWN:00N,,Possession framed through relational language.,my friend|his partner|her mentor,own00n,223,TRUE,TRUE
SIGSOWN00O,OWN,Ownership / Possession,00O,SP:OWN:00O,,Expressions of dominion or authority.,rule over|command|own it,own00o,224,TRUE,TRUE
SIGSOWN00P,OWN,Ownership / Possession,00P,SP:OWN:00P,,Language suggesting emotional or romantic claim.,my love|taken|spoken for,own00p,225,TRUE,TRUE
SIGSOWN00Q,OWN,Ownership / Possession,00Q,SP:OWN:00Q,,Financial or transactional ownership language.,purchased|paid for|investment,own00q,226,TRUE,TRUE
SIGSOWN00R,OWN,Ownership / Possession,00R,SP:OWN:00R,,Coded phrases of possession in digital culture.,mine IRL|locked in|owned,own00r,227,TRUE,TRUE
SIGSOWN00S,OWN,Ownership / Possession,00S,SP:OWN:00S,,Possession through design or creative origin.,my design|creator of|made by,own00s,228,TRUE,TRUE
SIGSOWN00T,OWN,Ownership / Possession,00T,SP:OWN:00T,,Possession of intangible concepts like time or memory.,my moment|my memory|my time,own00t,229,TRUE,TRUE
SIGSOWN00U,OWN,Ownership / Possession,00U,SP:OWN:00U,,Possessive use in mentorship or stewardship.,my student|under my wing|guided by me,own00u,230,TRUE,TRUE
SIGSOWN00V,OWN,Ownership / Possession,00V,SP:OWN:00V,,Symbolic declaration of shared custody or rights.,jointly held|co-owned|shared,own00v,231,TRUE,TRUE
SIGSOWN00W,OWN,Ownership / Possession,00W,SP:OWN:00W,,Possession rooted in protection or guardianship.,watch over|keep safe|mine to protect,own00w,232,TRUE,TRUE
SIGSOWN00X,OWN,Ownership / Possession,00X,SP:OWN:00X,,Possession communicated through legal constraints.,copyright|patented|owned by law,own00x,233,TRUE,TRUE
SIGSOWN00Y,OWN,Ownership / Possession,00Y,SP:OWN:00Y,,Possessive expressions based in spiritual belief.,gifted to me|entrusted|sacred to me,own00y,234,TRUE,TRUE
SIGSOWN00Z,OWN,Ownership / Possession,00Z,SP:OWN:00Z,,Emphatic possession via repetition or emphasis.,mine mine mine|all mine|truly mine,own00z,235,TRUE,TRUE
SIGSOWN010,OWN,Ownership / Possession,010,SP:OWN:010,,Possessive language rooted in scarcity or fear.,only one|I can’t lose it|all I have,own010,236,TRUE,TRUE
SIGSOWN011,OWN,Ownership / Possession,011,SP:OWN:011,,Possession indicated through digital permissions.,admin|has access|controlled by,own011,237,TRUE,TRUE
SIGSOWN012,OWN,Ownership / Possession,012,SP:OWN:012,,Territoriality expressed through instinct or behavior.,mine!|claimed|territory,own012,238,TRUE,TRUE
SIGSOWN013,OWN,Ownership / Possession,013,SP:OWN:013,,Possession expressed in a mythic or archetypal tone.,chosen one|gifted heir|holder of,own013,239,TRUE,TRUE
SIGSOWN014,OWN,Ownership / Possession,014,SP:OWN:014,,Possessive control in a linguistic or rhetorical domain.,my language|my voice|my story,own014,240,TRUE,TRUE
SIGSOWN015,OWN,Ownership / Possession,015,SP:OWN:015,,Possession claimed through emotional labor or time.,I earned this|put in the work|mine through effort,own015,241,TRUE,TRUE
SIGSOWN016,OWN,Ownership / Possession,016,SP:OWN:016,,Rhetorical framing of ideas as personal constructs.,my understanding|my framework|I coined that,own016,242,TRUE,TRUE
SIGSOWN017,OWN,Ownership / Possession,017,SP:OWN:017,,Possessive tone in envy or desire.,should be mine|wish I had|rightfully mine,own017,243,TRUE,TRUE
SIGSOWN018,OWN,Ownership / Possession,018,SP:OWN:018,,Expressions of possession in artistic or literary works.,my poem|authored by|my lyrics,own018,244,TRUE,TRUE
SIGSOWN019,OWN,Ownership / Possession,019,SP:OWN:019,,Possession signaled through display or curation.,my collection|showcase|personal gallery,own019,245,TRUE,TRUE
SIGSOWN01A,OWN,Ownership / Possession,01A,SP:OWN:01A,,Identity-oriented possession.,my gender|my name|my identity,own01a,246,TRUE,TRUE
SIGSOWN01B,OWN,Ownership / Possession,01B,SP:OWN:01B,,Possession framed in academic or intellectual contexts.,my thesis|my research|my paper,own01b,247,TRUE,TRUE
SIGSOWN01C,OWN,Ownership / Possession,01C,SP:OWN:01C,,Possessive reframing of shared language.,our word|how we say|this is our way,own01c,248,TRUE,TRUE
SIGSOWN01D,OWN,Ownership / Possession,01D,SP:OWN:01D,,"Possession of titles, roles, or honors.",my title|holder of|I earned it,own01d,249,TRUE,TRUE
SIGSOWN01E,OWN,Ownership / Possession,01E,SP:OWN:01E,,Possessive dynamics in conflict or power.,take it back|mine now|you stole it,own01e,250,TRUE,TRUE
SIGSOWN01F,OWN,Ownership / Possession,01F,SP:OWN:01F,,Symbolic or mythic language for spiritual possession.,my calling|soul-bound|tethered to,own01f,251,TRUE,TRUE
SIGSOWN01G,OWN,Ownership / Possession,01G,SP:OWN:01G,,Possessive use in claiming digital or AI assets.,my model|my bot|owned node,own01g,252,TRUE,TRUE
SIGSOWN01H,OWN,Ownership / Possession,01H,SP:OWN:01H,,Possession claimed in sacrifice or loss.,died for this|gave everything|cost me,own01h,253,TRUE,TRUE
SIGSOWN01I,OWN,Ownership / Possession,01I,SP:OWN:01I,,Possession demonstrated through ritual or tradition.,handed down|our way|kept alive,own01i,254,TRUE,TRUE
SIGSOWN01J,OWN,Ownership / Possession,01J,SP:OWN:01J,,Protective language of ownership.,not yours|hands off|leave it,own01j,255,TRUE,TRUE
SIGSOWN01K,OWN,Ownership / Possession,01K,SP:OWN:01K,,Ownership through payment or trade.,bought|exchanged|traded for,own01k,256,TRUE,TRUE
SIGSOWN01L,OWN,Ownership / Possession,01L,SP:OWN:01L,,Emotive or nostalgic possession of moments.,that was mine|my childhood|my past,own01l,257,TRUE,TRUE
SIGSOWN01M,OWN,Ownership / Possession,01M,SP:OWN:01M,,Possession communicated through spatial orientation.,my side|my place|my room,own01m,258,TRUE,TRUE
SIGSOWN01N,OWN,Ownership / Possession,01N,SP:OWN:01N,,Possessive language in tribal or collective identity.,our clan|our code|our ways,own01n,259,TRUE,TRUE
SIGSOWN01O,OWN,Ownership / Possession,01O,SP:OWN:01O,,Spoken bond to cultural or generational memory.,our ancestors|our roots|our legacy,own01o,260,TRUE,TRUE
SIGSOWN01P,OWN,Ownership / Possession,01P,SP:OWN:01P,,Possession indicated through custodial role.,caretaker|guardian|steward,own01p,261,TRUE,TRUE
SIGSOWN01Q,OWN,Ownership / Possession,01Q,SP:OWN:01Q,,Possessive orientation to self-identity or essence.,my soul|my center|my being,own01q,262,TRUE,TRUE
SIGSOWN01R,OWN,Ownership / Possession,01R,SP:OWN:01R,,Possession of belief or faith.,my belief|our doctrine|I hold this true,own01r,263,TRUE,TRUE
SIGSOWN01S,OWN,Ownership / Possession,01S,SP:OWN:01S,,Symbolic ownership of destiny or path.,my journey|my path|I walk this,own01s,264,TRUE,TRUE
SIGSOWN01T,OWN,Ownership / Possession,01T,SP:OWN:01T,,Control over one's own time or energy.,my time|my schedule|my rhythm,own01t,265,TRUE,TRUE
SIGSOWN01U,OWN,Ownership / Possession,01U,SP:OWN:01U,,Possessive language in technology or code environments.,my repo|my script|this commit,own01u,266,TRUE,TRUE
SIGSOWN01V,OWN,Ownership / Possession,01V,SP:OWN:01V,,Possessive framing of symbolic authority.,my kingdom|my throne|crown,own01v,267,TRUE,TRUE
SIGSOWN01W,OWN,Ownership / Possession,01W,SP:OWN:01W,,Language of contractual or bonded ownership.,bound to|signed over|obligated,own01w,268,TRUE,TRUE
SIGSOWN01X,OWN,Ownership / Possession,01X,SP:OWN:01X,,Possession embedded in linguistic expression or dialect.,our slang|how we talk|our tongue,own01x,269,TRUE,TRUE
SIGSOWN01Y,OWN,Ownership / Possession,01Y,SP:OWN:01Y,,Possessive expression of agency or authorship.,my idea|my solution|my plan,own01y,270,TRUE,TRUE
SIGSOWN01Z,OWN,Ownership / Possession,01Z,SP:OWN:01Z,,Claim to physical object or territory.,this is mine|my spot|claimed,own01z,271,TRUE,TRUE
SIGSOWN020,OWN,Ownership / Possession,020,SP:OWN:020,,Shared possession emphasized in community.,our home|we built this|ours,own020,272,TRUE,TRUE
SIGSOWN021,OWN,Ownership / Possession,021,SP:OWN:021,,Possessive phrasing in ancestral or tribal naming.,son of|descendant|from the line of,own021,273,TRUE,TRUE
SIGSOWN022,OWN,Ownership / Possession,022,SP:OWN:022,,Possessive logic used in ideology or philosophy.,our truth|my principle|I hold this,own022,274,TRUE,TRUE
SIGSOWN023,OWN,Ownership / Possession,023,SP:OWN:023,,Possession asserted in digital communication.,posted by me|my comment|my thread,own023,275,TRUE,TRUE
SIGSOWN024,OWN,Ownership / Possession,024,SP:OWN:024,,Possessive control over emotional states or outcomes.,my peace|my joy|my fault,own024,276,TRUE,TRUE
SIGSOWN025,OWN,Ownership / Possession,025,SP:OWN:025,,Framing possessions in time or space relationships.,of mine|belonging to|in my hands,own025,277,TRUE,TRUE
SIGSOWN026,OWN,Ownership / Possession,026,SP:OWN:026,,Possessive responsibility for outcomes.,my fault|I caused this|on me,own026,278,TRUE,TRUE
SIGSOWN027,OWN,Ownership / Possession,027,SP:OWN:027,,Possessive use in abstraction or concept ownership.,my logic|our system|his thesis,own027,279,TRUE,TRUE
SIGSOWN028,OWN,Ownership / Possession,028,SP:OWN:028,,Symbolic ownership of archetypes or identities.,I am the storm|chosen|bearer,own028,280,TRUE,TRUE
SIGSOWN029,OWN,Ownership / Possession,029,SP:OWN:029,,Possessive tone in legacy or continuation.,my legacy|what I leave|remember me by,own029,281,TRUE,TRUE
SIGSOWN02A,OWN,Ownership / Possession,02A,SP:OWN:02A,,Ownership of perspective or viewpoint.,my view|how I see it|from my lens,own02a,282,TRUE,TRUE
SIGSOWN02B,OWN,Ownership / Possession,02B,SP:OWN:02B,,Spoken control or territory over identity-space.,this is who I am|mine to be|I claim me,own02b,283,TRUE,TRUE
SIGSOWN02C,OWN,Ownership / Possession,02C,SP:OWN:02C,,Ownership through burden or obligation.,my responsibility|on my shoulders|my duty,own02c,284,TRUE,TRUE
SIGSOWN02D,OWN,Ownership / Possession,02D,SP:OWN:02D,,Spoken attachment in poetic or sacred forms.,my vow|my song|my oath,own02d,285,TRUE,TRUE
SIGSOWN02E,OWN,Ownership / Possession,02E,SP:OWN:02E,,Possessive gesture used in parental or care-taking roles.,my child|in my arms|under my care,own02e,286,TRUE,TRUE
SIGSOWN02F,OWN,Ownership / Possession,02F,SP:OWN:02F,,Possessive identification with movements or causes.,my cause|I stand for|ours to fight for,own02f,287,TRUE,TRUE
SIGSOWN02G,OWN,Ownership / Possession,02G,SP:OWN:02G,,Spoken claim in heroic or mythic archetypes.,my quest|destined for|chosen,own02g,288,TRUE,TRUE
SIGSOWN02H,OWN,Ownership / Possession,02H,SP:OWN:02H,,Possessive phraseology in dream or unconscious states.,my dream|in my sleep|vision I saw,own02h,289,TRUE,TRUE
SIGSOWN02I,OWN,Ownership / Possession,02I,SP:OWN:02I,,Possessive in memory-based narration.,my past|what I remember|back then,own02i,290,TRUE,TRUE
SIGSOWN02J,OWN,Ownership / Possession,02J,SP:OWN:02J,,Possession framed through agreement or contract.,signed for|in my name|under my rights,own02j,291,TRUE,TRUE
SIGSOWN02K,OWN,Ownership / Possession,02K,SP:OWN:02K,,Possessive constructs in AI or data ownership.,my dataset|my model|my outputs,own02k,292,TRUE,TRUE
SIGSOWN02L,OWN,Ownership / Possession,02L,SP:OWN:02L,,Possessive use in metaphysical or mystic space.,soul-bound|claimed by light|my aura,own02l,293,TRUE,TRUE
SIGSOWN02M,OWN,Ownership / Possession,02M,SP:OWN:02M,,"Possession of status, label, or designation.",titled|certified|recognized as,own02m,294,TRUE,TRUE
SIGSOWN02N,OWN,Ownership / Possession,02N,SP:OWN:02N,,Claim over energy or effort expended.,I gave this|my effort|blood and sweat,own02n,295,TRUE,TRUE
SIGSOWN02O,OWN,Ownership / Possession,02O,SP:OWN:02O,,Possessive form in language acquisition or heritage.,my tongue|our words|my first language,own02o,296,TRUE,TRUE
SIGSOWN02P,OWN,Ownership / Possession,02P,SP:OWN:02P,,Framing possession as a shield or defense.,my boundary|not yours|off limits,own02p,297,TRUE,TRUE
SIGSOWN02Q,OWN,Ownership / Possession,02Q,SP:OWN:02Q,,Claim to symbolic energy or alignment.,my vibe|my essence|I carry this,own02q,298,TRUE,TRUE
SIGSOWN02R,OWN,Ownership / Possession,02R,SP:OWN:02R,,Possessive used in grief or remembrance.,my loss|still mine|never forget,own02r,299,TRUE,TRUE
SIGSOWN02S,OWN,Ownership / Possession,02S,SP:OWN:02S,,Complete metaphysical fusion of identity and possession.,I am this|this is me|inseparable,own02s,300,TRUE,TRUE
SIGSMOT001,MOT,Motion / Movement,001,SP:MOT:001,A basic action of displacement from one physical location...,A basic action of displacement from one physical location to another.,walk|run|go,mot001,301,TRUE,TRUE
SIGSMOT002,MOT,Motion / Movement,002,SP:MOT:002,,Movement initiated by an internal impulse or desire.,urge|drift|gravitate,mot002,302,TRUE,TRUE
SIGSMOT003,MOT,Motion / Movement,003,SP:MOT:003,A conscious effort to change one’s current state or posit...,A conscious effort to change one’s current state or position.,shift|transition|relocate,mot003,303,TRUE,TRUE
SIGSMOT004,MOT,Motion / Movement,004,SP:MOT:004,,Kinetic movement used to escape or avoid.,flee|dodge|retreat,mot004,304,TRUE,TRUE
SIGSMOT005,MOT,Motion / Movement,005,SP:MOT:005,,Rhythmic or patterned movement expressing emotion.,dance|sway|groove,mot005,305,TRUE,TRUE
SIGSMOT006,MOT,Motion / Movement,006,SP:MOT:006,,Slow or tentative progression toward a goal.,crawl|inch|creep,mot006,306,TRUE,TRUE
SIGSMOT007,MOT,Motion / Movement,007,SP:MOT:007,,Vertical motion indicating rising or ascent.,climb|rise|lift,mot007,307,TRUE,TRUE
SIGSMOT008,MOT,Motion / Movement,008,SP:MOT:008,,"Descent or lowering action, often intentional.",descend|sink|drop,mot008,308,TRUE,TRUE
SIGSMOT009,MOT,Motion / Movement,009,SP:MOT:009,,Abrupt or erratic movement without clear direction.,jerk|lurch|jolt,mot009,309,TRUE,TRUE
SIGSMOT00A,MOT,Motion / Movement,00A,SP:MOT:00A,,Circular or looping motion suggesting cycles or return.,spin|orbit|revolve,mot00a,310,TRUE,TRUE
SIGSMOT00B,MOT,Motion / Movement,00B,SP:MOT:00B,,Steady or stable forward progress.,advance|proceed|move ahead,mot00b,311,TRUE,TRUE
SIGSMOT00C,MOT,Motion / Movement,00C,SP:MOT:00C,,"Movement of air, thought, or spirit.",flow|drift|glide,mot00c,312,TRUE,TRUE
SIGSMOT00D,MOT,Motion / Movement,00D,SP:MOT:00D,,Motion motivated by urgency or crisis.,rush|charge|scramble,mot00d,313,TRUE,TRUE
SIGSMOT00E,MOT,Motion / Movement,00E,SP:MOT:00E,,Involuntary or reactive bodily motion.,flinch|twitch|jerk,mot00e,314,TRUE,TRUE
SIGSMOT00F,MOT,Motion / Movement,00F,SP:MOT:00F,,Repeated or oscillating movement.,vibrate|shake|bounce,mot00f,315,TRUE,TRUE
SIGSMOT00G,MOT,Motion / Movement,00G,SP:MOT:00G,,Symbolic or metaphorical motion in conversation.,move on|progress|get past it,mot00g,316,TRUE,TRUE
SIGSMOT00H,MOT,Motion / Movement,00H,SP:MOT:00H,,Movement through virtual or abstract space.,navigate|scroll|jump to,mot00h,317,TRUE,TRUE
SIGSMOT00I,MOT,Motion / Movement,00I,SP:MOT:00I,,Movement to initiate contact or confrontation.,approach|step to|pull up,mot00i,318,TRUE,TRUE
SIGSMOT00J,MOT,Motion / Movement,00J,SP:MOT:00J,,Gesture-based motion to communicate intention.,wave|beckon|nod,mot00j,319,TRUE,TRUE
SIGSMOT00K,MOT,Motion / Movement,00K,SP:MOT:00K,,Motion governed by instinct or ritual.,pounce|circle|mark territory,mot00k,320,TRUE,TRUE
SIGSMOT00L,MOT,Motion / Movement,00L,SP:MOT:00L,,Redirection or detour from a straight path.,swerve|veer|pivot,mot00l,321,TRUE,TRUE
SIGSMOT00M,MOT,Motion / Movement,00M,SP:MOT:00M,,Symmetrical or mirrored movement.,echo|reflect|duplicate,mot00m,322,TRUE,TRUE
SIGSMOT00N,MOT,Motion / Movement,00N,SP:MOT:00N,,Telekinetic or implied movement of unseen forces.,shifted|drawn|pulled,mot00n,323,TRUE,TRUE
SIGSMOT00O,MOT,Motion / Movement,00O,SP:MOT:00O,,Intentional stillness to resist motion.,freeze|stand firm|hold,mot00o,324,TRUE,TRUE
SIGSMOT00P,MOT,Motion / Movement,00P,SP:MOT:00P,,Repetitive travel back and forth.,commute|shuttle|yo-yo,mot00p,325,TRUE,TRUE
SIGSMOT00Q,MOT,Motion / Movement,00Q,SP:MOT:00Q,,Symbolic movement of mind or perspective.,reframe|shift gears|open up,mot00q,326,TRUE,TRUE
SIGSMOT00R,MOT,Motion / Movement,00R,SP:MOT:00R,,Cultural expression through collective movement.,march|parade|demonstrate,mot00r,327,TRUE,TRUE
SIGSMOT00S,MOT,Motion / Movement,00S,SP:MOT:00S,,Playful or nonverbal locomotion.,skip|hop|bounce,mot00s,328,TRUE,TRUE
SIGSMOT00T,MOT,Motion / Movement,00T,SP:MOT:00T,,Exploratory motion into unknown space.,venture|wander|roam,mot00t,329,TRUE,TRUE
SIGSMOT00U,MOT,Motion / Movement,00U,SP:MOT:00U,,Backtracking or regression.,retreat|retrace|reverse,mot00u,330,TRUE,TRUE
SIGSMOT00V,MOT,Motion / Movement,00V,SP:MOT:00V,,Motion rooted in aggression or attack.,lunge|strike|charge,mot00v,331,TRUE,TRUE
SIGSMOT00W,MOT,Motion / Movement,00W,SP:MOT:00W,,Motion used to repair or adjust.,fix|tweak|readjust,mot00w,332,TRUE,TRUE
SIGSMOT00X,MOT,Motion / Movement,00X,SP:MOT:00X,,"Spontaneous, joyful movement.",spin|twirl|jump,mot00x,333,TRUE,TRUE
SIGSMOT00Y,MOT,Motion / Movement,00Y,SP:MOT:00Y,,Movement constrained by external force.,drag|pulled|pushed,mot00y,334,TRUE,TRUE
SIGSMOT00Z,MOT,Motion / Movement,00Z,SP:MOT:00Z,,Evasive motion to avoid detection.,slip away|duck|vanish,mot00z,335,TRUE,TRUE
SIGSMOT010,MOT,Motion / Movement,010,SP:MOT:010,,Motion through technology or machinery.,scroll|swipe|auto-run,mot010,336,TRUE,TRUE
SIGSMOT011,MOT,Motion / Movement,011,SP:MOT:011,,Reluctant or hesitant movement.,shuffle|hesitate|creep,mot011,337,TRUE,TRUE
SIGSMOT012,MOT,Motion / Movement,012,SP:MOT:012,,Intentional forward advance in status or rank.,level up|ascend|step up,mot012,338,TRUE,TRUE
